assay_component_name	technological_target_type_sub	chnm	casn	stkc	stkc_unit	apid	rowi	coli	wllt	wllq	conc	rval	srcf
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	5	9	t	1	0.396296296	0.07	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	5	8	t	1	0.396296296	0.08	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	5	6	t	1	0.396296296	1.43	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	4	6	t	1	1.188888889	1.44	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	4	8	t	1	1.188888889	0.09	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	4	7	t	1	1.188888889	1.82	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	4	9	t	1	1.188888889	0.11	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	3	8	t	1	3.566666667	0.11	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	3	7	t	1	3.566666667	2.02	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	3	9	t	1	3.566666667	0.11	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	3	6	t	1	3.566666667	1.88	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	2	7	t	1	10.7	2.2	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	03Sep2014.Plate.1	2	6	t	1	10.7	2.55	2900-TO3 PhIII E1K Set 2 86 DR 03Sep2014 Plate 1_Cyprotex.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	2	9	t	1	10.7	0.16	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Chloroanthraquinone	82-44-0	10.699999809265137	mM	10Jun2015.Plate.20	2	8	t	1	10.7	0.18	2900-TO3 165 DR 10Jun2015 Plate 20A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	7	9	t	1	0.412	0.07	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	7	8	t	1	0.412	0.08	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	6	8	t	1	1.235666667	0.08	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	6	9	t	1	1.235666667	0.07	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
CEETOX_H295R_ESTRADIOL	Estradiol	1-Methyl-3-phenyl-5-(3-(trifluoromethyl)phenyl)-4-pyridone	59756-60-4	100.0999984741211	mM	10Jun2015.Plate.11	5	9	t	1	3.707333333	0.1	2900-TO3 165 DR 10Jun2015 Plate 11A.csv
