assay_component_name	technological_target_type_sub	chnm	conc	count(*)
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	0.37	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	1.11	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	3.33	2
CEETOX_H295R_ESTRADIOL	Estradiol	1,5-Naphthalenediamine	9.99	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	0.411934156	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	1.235802469	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	3.707407407	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	11.12222222	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	33.36666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	10-Undecenoic acid	100.1	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.041193416	3
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.123580247	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	0.370666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	1.112222222	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	3.336666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Estradiol	10.01	4
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.004115226	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.012345679	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.037037037	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.111111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	0.333333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	17alpha-Ethinylestradiol	1	2
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.041	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.123333333	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	0.37	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	1.11	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	3.33	4
CEETOX_H295R_ESTRADIOL	Estradiol	17beta-Estradiol	9.99	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	0.411522634	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	1.234567901	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	3.703703704	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	11.11111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	33.33333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-(3-Phenylpropyl)pyridine	100	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	0.082304527	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	0.24691358	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	0.740740741	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	2.222222222	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	6.666666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Aminoanthraquinone	20	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	0.411522634	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	1.234567901	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	3.703666667	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	11.111	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	33.33333333	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Ethoxy-5-(1-propenyl)phenol	100	4
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	0.205761317	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	0.617283951	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	1.851851852	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	5.555555556	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	16.66666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Hydroxy-4-methoxybenzophenone	50	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	0.411522634	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	1.234567901	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	3.703703704	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	11.11111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	33.33333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthalenol	100	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	0.411111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	1.233333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	3.7	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	11.1	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	33.3	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Naphthylamine	99.9	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	0.411522634	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	1.234567901	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	3.703703704	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	11.11111111	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	33.33333333	2
CEETOX_H295R_ESTRADIOL	Estradiol	2-Phenylphenol	100	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.082304527	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.24691358	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	0.740740741	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	2.222222222	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	6.666666667	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2-Bis(4-hydroxyphenyl)-1,1,1-trichloroethane	20	2
CEETOX_H295R_ESTRADIOL	Estradiol	2,2'-Dibenzoylaminodiphenyl disulfide	0.082304527	4
CEETOX_H295R_ESTRADIOL	Estradiol	2,2'-Dibenzoylaminodiphenyl disulfide	0.24691358	4
