assay_component_name	technological_target_type_sub	chnm	conc	count(*)
CEETOX_H295R_PROG	Progesterone	1,6-Hexanediol diacrylate	2.222222222	4
CEETOX_H295R_PROG	Progesterone	1,6-Hexanediol diacrylate	6.666666667	4
CEETOX_H295R_PROG	Progesterone	1,6-Hexanediol diacrylate	20	4
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	0.090534979	2
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	0.271604938	2
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	0.814814815	2
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	2.444444444	2
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	7.333333333	2
CEETOX_H295R_PROG	Progesterone	17-Methyltestosterone	22	2
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	0.082304527	4
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	0.24691358	4
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	0.740666667	4
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	2.222222222	4
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	6.666666667	4
CEETOX_H295R_PROG	Progesterone	2-(1-Chlorocyclopropyl)-1-(2-chlorophenyl)-3-(1H-1,2,4-triazol-1-yl)-2-propanol	20	4
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	0.082304527	2
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	0.24691358	2
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	0.740740741	2
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	2.222222222	2
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	6.666666667	2
CEETOX_H295R_PROG	Progesterone	2-Aminoanthraquinone	20	2
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	0.411522634	4
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	1.234567901	4
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	3.703666667	4
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	11.111	4
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	33.33333333	4
CEETOX_H295R_PROG	Progesterone	2-Ethoxy-5-(1-propenyl)phenol	100	4
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	0.411666667	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	1.234666667	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	3.703666667	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	11.111	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	33.33333333	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxybenzonitrile	100	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	0.411522634	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	1.234567901	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	3.703703704	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	11.11111111	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	33.33333333	2
CEETOX_H295R_PROG	Progesterone	2-Hydroxyethyl acrylate	100	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	0.411522634	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	1.234567901	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	3.703703704	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	11.11111111	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	33.33333333	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-4-nitroaniline	100	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	0.411522634	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	1.234567901	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	3.703703704	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	11.11111111	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	33.33333333	2
CEETOX_H295R_PROG	Progesterone	2-Methoxy-5-methylaniline	100	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	0.411111111	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	1.233333333	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	3.7	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	11.1	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	33.3	2
CEETOX_H295R_PROG	Progesterone	2-Naphthylamine	99.9	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	0.411934156	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	1.235802469	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	3.707407407	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	11.12222222	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	33.36666667	2
CEETOX_H295R_PROG	Progesterone	2,2-Dibromo-3-nitrilopropionamide	100.1	2
CEETOX_H295R_PROG	Progesterone	2,2'-Dibenzoylaminodiphenyl disulfide	0.082304527	4
CEETOX_H295R_PROG	Progesterone	2,2'-Dibenzoylaminodiphenyl disulfide	0.24691358	4
