assay_component_name,technological_target_type_sub,chnm,conc,count(*)
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,0.411522634,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,1.234567901,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,3.703666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,11.111,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,33.33333333,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,(+/-)-cis-Permethrin,100,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",0.411522634,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",1.234567901,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",3.703703704,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",11.11111111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",33.33333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Benzenediamine",100,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",0.020576132,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",0.061666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",0.185185185,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",0.555555556,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",1.666666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Bis(butylamino)anthracene-9,10-dione",5,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",0.205761317,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",0.617283951,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",1.851851852,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",5.555555556,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",16.66666667,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Diaminoanthraquinone",50,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",0.004115226,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",0.012345679,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",0.037037037,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",0.111111111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",0.333333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,4-Dihydroxy-2-naphthoic acid",1,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",0.041111111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",0.123333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",0.37,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",1.11,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",3.33,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,5-Naphthalenediamine",9.99,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",0.082304527,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",0.24691358,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",0.740666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",2.222222222,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",6.666666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"1,6-Hexanediol diacrylate",20,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,0.090534979,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,0.271604938,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,0.814814815,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,2.444444444,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,7.333333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,17-Methyltestosterone,22,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,0.082304527,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,0.24691358,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,0.740740741,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,2.222222222,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,6.666666667,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Aminoanthraquinone,20,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,0.411522634,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,1.234567901,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,3.703666667,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,11.111,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,33.33333333,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Ethoxy-5-(1-propenyl)phenol,100,4
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,0.411666667,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,1.234666667,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,3.703666667,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,11.111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,33.33333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Hydroxybenzonitrile,100,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",0.411522634,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",1.234567901,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",3.703703704,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",11.11111111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",33.33333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,"2-Hydroxyethyl acrylate",100,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,0.411522634,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,1.234567901,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,3.703703704,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,11.11111111,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,33.33333333,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-4-nitroaniline,100,2
CEETOX_H295R_OHPREG,17alpha-hydroxypregnenolone,2-Methoxy-5-methylaniline,0.411522634,2
